 ,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sale Amount,Cost Price,Profit,Payment Mode,Delivery Status,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Stock Left
ORD1000,17-06-2024,19-06-2024,CUST222,Matthew Lowe,Consumer,PROD3907,Monitor,Electronics,South,New Mexico,Melissaton,2,1812,15,3080.4,2660.08,420.32,Debit Card,Returned,No,0,Lane-Romero,lisasmith@example.com,20
ORD1001,22-02-2024,26-02-2024,CUST339,Aaron Jones,Corporate,PROD6748,File Folder,Office Supplies,West,New York,West Meganbury,4,1741,5,6615.8,5333.26,1282.54,UPI,Cancelled,No,0,Huff-Sullivan,collinscharles@example.org,37
ORD1002,10-08-2025,16-08-2025,CUST606,Jason Evans,Consumer,PROD8552,Office Chair,Furniture,North,Alabama,Lake Mary,4,3650,15,12410,10924.93,1485.07,Credit Card,Delivered,Yes,34,"Gibson, Stokes and Murray",john78@example.net,8
ORD1003,26-11-2023,02-12-2023,CUST529,Mallory Long,Consumer,PROD2160,Snacks,Grocery,East,Iowa,Edwardmouth,6,394,0,2364,1863.51,500.49,UPI,Returned,Yes,33,Galvan-Wallace,bjohnson@example.net,7
ORD1004,08-07-2024,12-07-2024,CUST828,Justin Williams,Consumer,PROD7127,Pen,Office Supplies,South,South Dakota,South Nicholas,9,984,5,8413.2,7068.1,1345.1,Debit Card,Pending,No,0,King Group,raymondrichards@example.com,33
ORD1005,16-12-2024,20-12-2024,CUST410,Nicholas Figueroa,Home Office,PROD2175,Monitor,Electronics,North,South Carolina,Wheelershire,2,387,15,657.9,537.6,120.3,Cash,Delivered,No,0,"Shah, Collins and Fisher",fosteranthony@example.org,15
ORD1006,13-04-2024,18-04-2024,CUST302,Cameron Mccoy,Home Office,PROD1186,Headphones,Electronics,East,Oregon,Jenniferland,2,906,0,1812,1346.59,465.41,Net Banking,Delivered,No,0,Savage Ltd,nshaw@example.net,17
ORD1007,22-08-2025,24-08-2025,CUST977,Craig Martinez,Home Office,PROD8208,File Folder,Office Supplies,North,North Dakota,Hooperland,6,2179,15,11112.9,8417.06,2695.84,Credit Card,Pending,No,0,"Underwood, Walker and Howard",smithtracey@example.net,24
ORD1008,23-06-2025,27-06-2025,CUST740,Jonathan Wilkerson,Home Office,PROD2166,Calculator,Office Supplies,South,Idaho,New Kevin,2,4479,20,7166.4,6339.04,827.36,Cash,Cancelled,No,0,"Patterson, Shaw and Jarvis",bward@example.org,11
ORD1009,04-03-2024,09-03-2024,CUST450,Ashley Gardner,Corporate,PROD5735,File Folder,Office Supplies,East,North Dakota,Rebeccaton,6,2216,15,11301.6,8934.35,2367.25,Cash,Cancelled,No,0,"Smith, Sims and Frey",nlopez@example.com,30
ORD1010,02-12-2023,09-12-2023,CUST250,Stephanie Ellis,Corporate,PROD1340,Sugar,Grocery,South,Virginia,Port Jeremyville,4,1961,10,7059.6,6026.59,1033.01,Credit Card,Delivered,No,0,Simmons Group,dashley@example.org,34
ORD1011,05-12-2023,12-12-2023,CUST833,Veronica Castro,Home Office,PROD2040,Monitor,Electronics,West,California,East James,7,4432,0,31024,27308.11,3715.89,UPI,Delivered,Yes,20,Martin LLC,hayesjames@example.org,1
ORD1012,13-01-2024,19-01-2024,CUST927,Cynthia Wade,Consumer,PROD2233,Rice Bag,Grocery,East,Louisiana,Younghaven,4,1509,20,4828.8,3411.01,1417.79,Net Banking,Pending,No,0,Chapman-Thomas,rachel29@example.net,43
ORD1013,17-02-2024,24-02-2024,CUST615,Nicole Hamilton,Home Office,PROD9544,Juice Pack,Grocery,East,Alabama,Michaelborough,8,4433,10,31917.6,27611.44,4306.16,Credit Card,Delivered,No,0,Cannon-Bailey,jenkinsmatthew@example.org,37
ORD1014,31-07-2024,04-08-2024,CUST133,Matthew Greene,Home Office,PROD4620,Headphones,Electronics,West,Louisiana,North Matthewmouth,2,4490,0,8980,6654.93,2325.07,Net Banking,Returned,Yes,49,Logan Inc,tylergibbs@example.com,0
ORD1015,30-05-2025,05-06-2025,CUST940,Chris Ortiz,Corporate,PROD9543,Bookshelf,Furniture,South,Minnesota,East Haydenhaven,2,168,15,285.6,220.95,64.65,Net Banking,Pending,Yes,28,"Anderson, Ramsey and Cox",debradaniels@example.org,0
ORD1016,08-03-2025,15-03-2025,CUST159,Larry Jensen,Corporate,PROD4718,Pen,Office Supplies,East,Georgia,Port Sandraburgh,9,3291,10,26657.1,21530.89,5126.21,Cash,Delivered,No,0,Burch Group,leelori@example.org,50
ORD1017,27-10-2025,02-11-2025,CUST537,Amanda Frazier,Home Office,PROD6381,Laptop,Electronics,North,Vermont,Lake Juliefurt,1,2570,15,2184.5,1833.65,350.85,Cash,Cancelled,No,0,"Lee, Jackson and Mann",mejiadanielle@example.com,35
